Chmical_Name,SMILES,Source
3-[(3-cholamidopropyl)dimethylammonio]-1- propanesulfonate,C[C@H](CCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-])[C@H]1CCC2[C@@]1([C@H](CC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C  ,
"4-(1,1,3,3-Tetramethylbutyl)phenyl-polyethylene glycol, t- Octylphenoxypolyethoxyethanol, Polyethylene glycol tert- octylphenyl ether",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,
Alginic Acid,[C@H]1([C@@H]([C@@H](OC([C@H]1O)C(=O)O)O[C@H]2[C@@H]([C@@H]([C@@H](OC2C(=O)O)O)O)O)O)O.[K].[K],
Amylopectin,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O)CO)O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)CO)O)O)O)O,
Bovine Serum Albumin,,
Carageenan (Iota),C1[C@@H]2[C@@H]([C@H](O1)[C@H]([C@H](O2)O)OS(=O)(=O)[O-])O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)OS(=O)(=O)[O-])O[C@@H]4[C@@H]([C@@H]5[C@H]([C@H](O4)CO5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)OS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])O,
Carageenan (Kappa),C1[C@@H]2[C@@H]([C@H](O1)[C@H]([C@H](O2)O)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)OS(=O)(=O)[O-])O[C@@H]4[C@@H]([C@@H]5[C@H]([C@H](O4)CO5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)OS(=O)(=O)[O-])O)O)O)O,
Carageenan (Lambda),C(C1C(C(C(C(O1)OC2C(OC(C(C2O)OS(=O)(=O)[O-])O)COS(=O)(=O)[O-])OS(=O)(=O)[O-])O)O)O,
Carboxymethyl Cellulose,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,
Carboxymethyl Dextran,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-])OCC(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],
Casein,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O,
Chitosan,COC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)N)O)CO)CO)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O,
Chondroitin Sulfate A,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)O)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)C(=O)O)O)O)O,
"Collagen, Type I",[3H]C(CC[C@@H](C(=O)NCC(=O)N[C@@H](CC1C=NC=N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CO)C(=O)NCC(=O)OC(=O)[C@H](CC(C)C)NC(=O)CN)NC(=O)[C@H](CCCC)NC(=O)CNC(=O)[C@@H]3C[C@H](CN3)O)C([3H])N,
Dextran,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,
Dextran Sulfate,,
Diethylaminoethyl Dextran,CCN(CC)C(C)C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O)O)O)O,
Fetal Bovine Serum,,
Guar Gum,C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O.[Na+].[Na+],
Gum Arabic,,
Gum Ghatti,,
Hyaluronic Acid,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)OC)O)O,
Hydroxyethyl Cellulose,CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)OCCO)O)O)O)O,
Hydroxyethyl Starch,C(COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCO)OCCO)OCCO)OCCO)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,
Hydroxypropyl Cellulose,,
Hydroxypropyl Methylcellulose,CC(COC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O.COC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2OC)OC)OC)COC)OC)OC)OC,
Lignin,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],
Methyl Cellulose,COCC1[C@H](C(C(C(O1)OC)OC)OC)O[C@H]2C(C(C(C(O2)COC)OC)OC)OC,
"Mucin, Type II",,
"N,N-Dimethyldodecylamine N-oxide",CCCCCCCCCCCC[N+](C)(C)[O-],
Octylphenoxy poly(ethyleneoxy)ethanol,O(CCO)c1ccc(cc1)C(CC(C)(C)C)(C)C,
Pectin,CC1CCOC(C1O)(C2CC3C(O2)C=CC(=CC(CC4(CCC(O4)C56CCC(O5)(CC(O6)C7C(=O)CC(O7)(C(C8CCC9(O8)CCCC(O9)C(C(=O)O3)C)O)C)C(=O)O)C)C)C)O,
Peptone,CCC1(OC(=C(C(=O)O1)C=CC=CC=C2C(=O)OC3(CCC4(CC3)OC(=O)C(=CC=CC=CC5=C(OC(OC5=O)(C)CC)[O-])C(=O)O4)OC2=O)[O-])C.CC1CCC(C2(C1)OC(=C(C(=O)O2)C=CC=CC=C3C(=O)OC4(CCC5(CC4)OC(=O)C(=CC=CC=CC6=C(OC7(CC(CCC7C)C)OC6=O)[O-])C(=O)O5)OC3=O)[O-])C.CC1(OC(=O)C(=CC=CC=CC2=C(OC3(CCC4(CC3)OC(=C(C(=O)O4)C=CC=CC=C5C(=O)OC(OC5=O)(C)C)[O-])OC2=O)[O-])C(=O)O1)C.C1CCC2(CC1)OC(=O)C(=CC=CC=CC3=C(OC4(CCC5(CC4)OC(=C(C(=O)O5)C=CC=CC=C6C(=O)OC7(CCCCC7)OC6=O)[O-])OC3=O)[O-])C(=O)O2.C1=CC=C(C=C1)C2=C(C=CC(=C2)[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C5=CC(=C(C=C5)O)C6=CC=CC=C6)O.C1=CC=C(C=C1)C2=C(C=CC(=C2)[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C5=CC(=C(C=C5)O)C6=CC=CC=C6)O.C1=CC=C(C=C1)C2=C(C=CC(=C2)[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C5=CC(=C(C=C5)O)C6=CC=CC=C6)O.C1=CC=C(C=C1)C2=C(C=CC(=C2)[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C5=CC(=C(C=C5)O)C6=CC=CC=C6)O,
Pluronic F-127,CC(COCCO)OCCO,
Poly(2-acrylamido-2-methyl-1-propanesulfonic acid),CC(C)(CS(O)(=O)=O)NC(=O)C=C,
Poly(2-ethyl-2-oxazoline),CCC1=NCCO1,
Poly(4-styrenesulfonic acid),[Ca+2].[S](=O)(=O)([O-])c1c(cccc1)C=C,
Poly(4-styrenesulfonic acid-co-maleic acid),[Na+].O2C(=O)C=CC2=O.c1(ccccc1)C=C,
"Poly[bis(2-chloroethyl) ether-alt-1,3-bis[3- (dimethylamino)propyl]urea] quaternized",CN(C)CCCNC(=O)NCCCN(C)C.C(CCl)OCCCl,
"Poly-(α,β)-DL-aspartic acid",,
Poly-D-lysine,,
Poly(acrylamide),NC(=O)C=C,
Poly(acrylic acid),[Na+].[O-]C(=O)C=C,
Poly(allylamine),NCC=C,
Poly(diallyldimethyl ammonium chloride),[Cl-].[N+](CC=C)(CC=C)(C)C,
Poly(ethylene glycol),C(CO)O,
Poly(ethylene glycol) diacrylate,C=CC(=O)OCCOC(=O)C=C,
Poly(ethylenimine),"1S/C2H5N/c1-2-3-1/h3H,1-2H2",
Poly(methacrylic acid),CC(=C)C(=O)O.CC(=C)C(=O)OC,
Poly(methyl vinyl ether-alt-maleic acid),COC=C.OC(=O)\C=C\C(O)=O,
Poly(N-isopropylacrylamide),CC(C)NC(=O)C=C,
Poly(propylene glycol),CC1=C(C=C(C=C1)N=C=O)N=C=O.CC(CO)O,
Poly(sucrose),C1C(O1)CCl.C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,
Poly(vinyl alcohol),"1S/C2H4O/c1-2-3/h2-3H,1H2",
Poly(vinylpyrrolidone),C=CN1CCCC1=O,
Poly(vinylsulfonic acid),[Na]OS(=O)(=O)C=C,
Polyoxyethylene (9) nonylphenylether,,
Polyoxyethylene (20) sorbitan monolaurate,O1C(C(C(C1)OCCO)OCCO)C(OCCO)COCCOC(=O)CCCCCCCCCCC,
Polyoxyethylene (23) lauryl ether,O(CCO)CCCCCCCCCCCC,
"Potassium phosphate, Dibasic",[K+].[K+].OP([O-])([O-])=O,
Pullulans,,
Sodium Cholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],
Sodium Citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],
Sodium Deoxycholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],
Sodium Dodecyl Sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],
Sodium Phosphate,[Na+].[Na+].[H]OP([O-])([O-])=O,
Tragacanth,,
Xanthan Gum,,