Decanoic acid (50 mM),Decanoic acid (10 mM),Decanoic acid (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Decyltrimethyl ammonium bromid (50 mM),Decyltrimethyl ammonium bromid (10 mM),Decyltrimethyl ammonium bromid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Decanol (15 mM),Decanol (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM),Decanal (50 mM),Decanal (10 mM),Decanal (2 mM),Perfluorooctanoic acid (50 mM),Perfluorooctanoic acid (10 mM),Perfluorooctanoic acid (2 mM),source_file
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_0_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_1_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_2_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,6.9,0.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_3_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,11.2,0.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_4_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,17.2,0.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_5_dispense_volumes.csv
9.3,0.0,0.0,9.1,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample240_fmvsgp_6_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_0_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,7.9,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_1_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,19.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_2_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,6.9,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_3_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,11.2,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_4_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,17.2,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_5_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_ori_6_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,7.9,0.0,0.0,0.0,0.0,sample144_smi_1_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,19.0,0.0,0.0,0.0,0.0,sample144_smi_2_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,6.9,0.0,0.0,0.0,0.0,0.0,sample144_smi_3_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,11.2,0.0,0.0,0.0,0.0,0.0,sample144_smi_4_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,17.2,0.0,0.0,0.0,0.0,0.0,sample144_smi_5_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_smi_6_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,7.9,0.0,sample144_dis_1_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,19.0,0.0,sample144_dis_2_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,6.9,0.0,0.0,sample144_dis_3_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,11.2,0.0,0.0,sample144_dis_4_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,17.2,0.0,0.0,sample144_dis_5_dispense_volumes.csv
0.0,19.6,0.0,0.0,7.4,0.0,0.0,0.0,14.1,0.0,0.0,0.0,9.6,0.0,0.0,5.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,sample144_dis_6_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_0_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,7.9,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_1_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,19.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_2_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,6.9,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_3_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,11.2,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_4_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,17.2,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_5_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_ori_6_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,sample288_smi_1_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,sample288_smi_2_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,sample288_smi_3_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,sample288_smi_4_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,sample288_smi_5_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_smi_6_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,sample288_dis_1_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,sample288_dis_2_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,sample288_dis_3_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,sample288_dis_4_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,sample288_dis_5_dispense_volumes.csv
0.0,8.8,0.0,0.0,10.1,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample288_dis_6_dispense_volumes.csv
